gameid,innings,team,batter,position,runs,balls,fours,sixes,out,fielders,bowler
100220,1,2,13940,1,56,118,9,0,CAUGHT,9868,37581
100220,1,2,576,2,6,19,1,0,CAUGHT,9864,13226
100220,1,2,11808,3,0,8,0,0,CAUGHT,8540,13226
100220,1,2,1413,4,6,6,0,0,CAUGHT,8540,13226
100220,1,2,10744,5,39,52,6,0,CAUGHT,8540,13226
100220,1,2,8733,6,16,52,1,0,CAUGHT,9870,11081
100220,1,2,587,7,86,124,10,2,CAUGHT,8540,8548
100220,1,2,1593,8,113,133,11,2,CAUGHT,9864,8548
100220,1,2,14726,9,17,30,4,0,CAUGHT,9864,8548
100220,1,2,9311,10,7,9,1,0,CAUGHT,9870,13226
100220,1,2,10808,11,0,1,0,0,NOTOUT,0,0
100220,2,6,9868,1,2,6,0,0,BOWLED,0,9311
100220,2,6,9870,2,3,22,0,0,BOWLED,0,14726
100220,2,6,9864,3,20,30,3,0,CAUGHT,1413,10808
100220,2,6,8219,4,0,1,0,0,BOWLED,0,14726
100220,2,6,394,5,8,14,2,0,CAUGHT,8733,9311
100220,2,6,544,6,32,64,5,0,CAUGHT,10744,587
100220,2,6,8540,7,22,42,3,0,CAUGHT,14691,587
100220,2,6,11081,8,27,52,2,1,NOTOUT,0,0
100220,2,6,13226,9,9,22,2,0,CAUGHT,1413,9311
100220,2,6,8548,10,11,21,1,0,BOWLED,0,9311
100220,2,6,37581,11,11,11,2,0,BOWLED,0,10808
100220,3,2,13940,1,10,17,2,0,CAUGHT,8540,37581
100220,3,2,576,2,5,7,1,0,CAUGHT,9870,8548
100220,3,2,11808,3,119,176,10,4,NOTOUT,0,0
100220,3,2,1413,4,17,37,2,0,LBW,0,11081
100220,3,2,10744,5,109,128,13,4,CAUGHTBOWLED,0,11081
100220,3,2,8733,6,22,19,4,0,NOTOUT,0,0
100220,3,2,587,7,0,0,0,0,DIDNOTBAT,0,0
100220,3,2,1593,8,0,0,0,0,DIDNOTBAT,0,0
100220,3,2,9311,9,0,0,0,0,DIDNOTBAT,0,0
100220,3,2,14726,10,0,0,0,0,DIDNOTBAT,0,0
100220,3,2,10808,11,0,0,0,0,DIDNOTBAT,0,0
100220,4,6,9870,1,33,47,5,1,CAUGHT,13940,9311
100220,4,6,9868,2,35,68,3,0,CAUGHT,11808,1593
100220,4,6,9864,3,82,127,8,3,CAUGHT,9311,587
100220,4,6,8219,4,13,24,3,0,BOWLED,0,1593
100220,4,6,394,5,13,11,1,1,CAUGHT,8733,1593
100220,4,6,544,6,25,56,3,0,CAUGHT,13940,1593
100220,4,6,8540,7,1,10,0,0,CAUGHT,576,587
100220,4,6,11081,8,8,10,1,0,CAUGHT,587,1593
100220,4,6,8548,9,5,4,1,0,CAUGHT,10808,1593
100220,4,6,13226,10,7,14,1,0,BOWLED,0,587
100220,4,6,37581,11,0,2,0,0,NOTOUT,0,0
100229,1,6,9870,1,0,24,0,0,CAUGHT,13940,14726
100229,1,6,9868,2,24,36,4,0,LBW,0,14726
100229,1,6,8219,3,107,194,17,1,NOTOUT,0,0
100229,1,6,9864,4,31,57,6,0,LBW,0,1593
100229,1,6,394,5,11,32,2,0,BOWLED,0,9311
100229,1,6,8540,6,13,30,3,0,CAUGHT,576,10808
100229,1,6,544,7,9,17,2,0,CAUGHT,10808,1593
100229,1,6,11081,8,20,42,4,0,CAUGHT,11808,9311
100229,1,6,8253,9,5,8,1,0,BOWLED,0,9311
100229,1,6,13226,10,1,4,0,0,LBW,0,10808
100229,1,6,13105,11,0,4,0,0,CAUGHTBOWLED,0,587
100229,2,2,13940,1,72,51,12,2,BOWLED,0,13226
100229,2,2,576,2,23,11,1,3,BOWLED,0,11081
100229,2,2,11808,3,39,36,4,1,CAUGHT,13226,544
100229,2,2,10744,4,9,11,0,0,CAUGHT,13226,544
100229,2,2,1413,5,47,35,4,1,BOWLED,0,544
100229,2,2,8733,6,68,43,7,2,STUMPED,8540,11081
100229,2,2,587,7,8,13,0,0,CAUGHT,9864,11081
100229,2,2,1593,8,1,4,0,0,BOWLED,0,544
100229,2,2,14726,9,12,5,0,2,CAUGHT,13105,11081
100229,2,2,9311,10,1,1,0,0,NOTOUT,0,0
100229,2,2,10808,11,0,0,0,0,DIDNOTBAT,0,0
100229,3,6,9868,1,50,101,10,0,CAUGHT,13940,14726
100229,3,6,9870,2,10,15,1,0,LBW,0,1593
100229,3,6,13226,3,4,9,1,0,BOWLED,0,1593
100229,3,6,8219,4,2,8,0,0,CAUGHT,8733,1593
100229,3,6,9864,5,19,37,2,0,BOWLED,0,587
100229,3,6,394,6,37,63,7,0,BOWLED,0,9311
100229,3,6,8540,7,1,8,0,0,CAUGHT,10744,587
100229,3,6,544,8,0,2,0,0,CAUGHTBOWLED,0,587
100229,3,6,11081,9,9,17,1,0,CAUGHT,10744,9311
100229,3,6,8253,10,0,13,0,0,LBW,0,9311
100229,3,6,13105,11,5,11,1,0,NOTOUT,0,0
100229,4,2,576,1,8,7,1,0,CAUGHT,13226,11081
100229,4,2,13940,2,51,45,8,1,CAUGHT,544,8253
100229,4,2,11808,3,6,10,1,0,LBW,0,11081
100229,4,2,1413,4,29,37,4,0,NOTOUT,0,0
100229,4,2,10744,5,4,5,1,0,NOTOUT,0,0
100229,4,2,8733,6,0,0,0,0,DIDNOTBAT,0,0
100229,4,2,587,7,0,0,0,0,DIDNOTBAT,0,0
100229,4,2,1593,8,0,0,0,0,DIDNOTBAT,0,0
100229,4,2,14726,9,0,0,0,0,DIDNOTBAT,0,0
100229,4,2,9311,10,0,0,0,0,DIDNOTBAT,0,0
100229,4,2,10808,11,0,0,0,0,DIDNOTBAT,0,0
100265,1,2,13940,1,13,63,1,0,CAUGHT,10703,15925
100265,1,2,576,2,2,16,0,0,BOWLED,0,1057
100265,1,2,1413,3,0,9,0,0,CAUGHT,10693,15925
