game,series,start,end,winner,tosswinner,descisiontobat,margin,isinnningswin,iswinbyruns,team1,team2,hometeam,team1captain,team2captain,venue
100220,8393,1726718400,1727064000,2,6,False,280,False,True,2,6,2,576,9864,11
100229,8393,1727409600,1727755200,2,2,False,7,False,False,2,6,2,576,9864,32
100265,8395,1729051200,1729396800,13,2,True,8,False,False,2,13,2,576,8216,27
100272,8395,1729742400,1730088000,13,13,True,113,False,True,2,13,2,576,8216,287
100274,8395,1730433600,1730779200,13,13,True,25,False,True,2,13,2,576,8216,81
101027,8495,1724216400,1724562000,6,6,False,10,False,False,3,6,3,9545,9864,25
101032,8495,1724994000,1725339600,6,6,False,6,False,False,3,6,3,9545,9864,25
101039,8497,1728277200,1728622800,9,3,True,47,True,True,3,9,3,9545,11691,22
101043,8497,1728968400,1729314000,3,3,True,152,False,True,3,9,3,9545,6557,22
101045,8497,1729746000,1730091600,3,9,True,9,False,False,3,9,3,9545,6557,25
101053,8504,1737088200,1737433800,3,3,True,127,False,True,3,10,3,9545,1984,22
101058,8504,1737779400,1738125000,10,10,True,120,False,True,3,10,3,9545,1984,22
103285,8625,1725856200,1726185600,0,0,False,0,False,False,96,13,96,8277,1057,438
105762,8786,1750413600,1750759200,9,9,False,5,False,False,9,2,9,6557,11808,66
105770,8786,1751450400,1751796000,2,9,False,336,False,True,9,2,9,6557,11808,20
105772,8786,1752141600,1752487200,9,9,True,22,False,True,9,2,9,6557,11808,19
105778,8786,1753264800,1753610400,0,9,False,0,False,False,9,2,9,6557,11808,65
105780,8786,1753956000,1754301600,2,9,False,6,False,True,9,2,9,11691,11808,12
105962,8818,1726633800,1727065800,5,5,True,63,False,True,5,13,5,7872,1057,113
105964,8818,1727325000,1727670600,5,5,True,154,True,True,5,13,5,7872,1057,113
106673,8881,1749634200,1749979800,11,11,False,5,False,False,11,4,0,8583,8095,19
10688,2063,1320827400,1321173000,11,0,False,8,False,False,11,4,11,207,138,52
10689,2063,1321516800,1321862400,4,0,False,2,False,False,11,4,11,207,138,88
10690,2064,1323937800,1324283400,11,0,False,81,True,True,11,5,11,207,105,75
10691,2064,1324886400,1325232000,5,0,False,208,False,True,11,5,11,207,105,74
10692,2064,1325579400,1325925000,11,0,False,10,False,False,11,5,11,207,105,52
10705,2065,1314765000,1315110600,4,0,False,125,False,True,5,4,5,105,138,113
10706,2065,1315456200,1315801800,0,0,False,0,False,False,5,4,5,105,138,254
10707,2065,1316147400,1316493000,0,0,False,0,False,False,5,4,5,105,138,14
10709,2068,1322697660,1323043260,4,0,False,9,False,False,4,13,4,138,521,35
10710,2068,1323387000,1323732600,13,0,False,7,False,True,4,13,4,138,521,39
10711,2069,1324855800,1325201400,4,0,False,122,False,True,4,2,4,138,265,87
10712,2069,1325547000,1325892600,4,0,False,68,True,True,4,2,4,138,265,34
10713,2069,1326421800,1326767400,4,0,False,37,True,True,4,2,4,138,265,38
10714,2069,1327363260,1327708860,4,0,False,298,False,True,4,2,4,138,26,40
10745,2078,1327527000,1327872600,13,0,False,301,True,True,13,12,13,521,180,44
10757,2079,1331069400,1331415000,0,0,False,0,False,False,11,13,13,207,521,116
10758,2079,1331760600,1332106200,11,0,False,9,False,False,11,13,13,207,521,100
10759,2079,1332451800,1332797400,0,0,False,0,False,False,11,13,13,207,521,45
10797,2083,1332736200,1333081800,5,0,False,75,False,True,5,9,5,101,167,113
10798,2083,1333427400,1333773000,9,0,False,8,False,False,5,9,5,101,167,71
10805,2085,1312444800,1312790400,12,0,False,130,False,True,12,6,12,180,544,69
108417,9033,1729483200,1729828800,11,6,True,7,False,False,6,11,6,9864,9582,128
10842,2088,1314862200,1315207800,3,0,False,7,False,False,12,3,12,180,274,70
108425,9033,1730174400,1730520000,11,11,True,273,True,True,6,11,6,9864,9582,93
10857,2092,1320134400,1320480000,13,0,False,34,False,True,12,13,12,180,521,70
10858,2093,1318917600,1319263200,0,0,False,0,False,False,3,5,3,274,105,94
10859,2093,1319608800,1319954400,3,0,False,9,False,False,3,5,3,274,105,153
10860,2093,1320300000,1320645600,0,0,False,0,False,False,3,5,3,274,105,140
108787,9107,1763691600,1764037200,4,9,True,8,False,False,4,9,4,2250,6557,512
108793,9107,1764820800,1765166400,4,9,True,8,False,False,4,9,4,2250,6557,35
108801,9107,1765927800,1766273400,4,4,True,82,False,True,4,9,4,8095,6557,40
108809,9107,1766705400,1767051000,9,9,False,4,False,False,4,9,4,2250,6557,87
