player,name,team,href
576,Rohit Sharma,2,/profiles/576/rohit-sharma
13940,Yashasvi Jaiswal,2,/profiles/13940/yashasvi-jaiswal
11808,Shubman Gill,2,/profiles/11808/shubman-gill
1413,Virat Kohli,2,/profiles/1413/virat-kohli
8733,KL Rahul,2,/profiles/8733/kl-rahul
10744,Rishabh Pant,2,/profiles/10744/rishabh-pant
587,Ravindra Jadeja,2,/profiles/587/ravindra-jadeja
1593,Ravichandran Ashwin,2,/profiles/1593/ravichandran-ashwin
9311,Jasprit Bumrah,2,/profiles/9311/jasprit-bumrah
14726,Akash Deep,2,/profiles/14726/akash-deep
10808,Mohammed Siraj,2,/profiles/10808/mohammed-siraj
9429,Sarfaraz Khan,2,
8808,Axar Patel,2,
8292,Kuldeep Yadav,2,
14691,Dhruv Jurel,2,
14172,Yash Dayal,2,
9868,Shadman Islam,6,/profiles/9868/shadman-islam
9870,Zakir Hasan,6,/profiles/9870/zakir-hasan
9864,Najmul Hossain Shanto,6,/profiles/9864/najmul-hossain-shanto
8219,Mominul Haque,6,/profiles/8219/mominul-haque
394,Mushfiqur Rahim,6,/profiles/394/mushfiqur-rahim
544,Shakib Al Hasan,6,/profiles/544/shakib-al-hasan
8540,Litton Das,6,/profiles/8540/litton-das
11081,Mehidy Hasan Miraz,6,/profiles/11081/mehidy-hasan-miraz
8548,Taskin Ahmed,6,/profiles/8548/taskin-ahmed
13226,Hasan Mahmud,6,/profiles/13226/hasan-mahmud
37581,Nahid Rana,6,/profiles/37581/nahid-rana
14273,Mahmudul Hasan Joy,6,
11088,Jaker Ali,6,
13105,Khaled Ahmed,6,
8253,Taijul Islam,6,
12081,Nayeem Hasan,6,
8216,Tom Latham,13,/profiles/8216/tom-latham
9838,Devon Conway,13,/profiles/9838/devon-conway
8549,Will Young,13,/profiles/8549/will-young
11177,Rachin Ravindra,13,/profiles/11177/rachin-ravindra
10713,Daryl Mitchell,13,/profiles/10713/daryl-mitchell
