seriesid,seriesname
8393,Bangladesh tour of India, 2024
8395,New Zealand tour of India, 2024
8495,Bangladesh tour of Pakistan, 2024
8497,England tour of Pakistan, 2024
8504,West Indies tour of Pakistan, 2025
8625,Afghanistan v New Zealand in India, 2024
8786,India tour of England, 2025
8818,New Zealand tour of Sri Lanka, 2024
8881,ICC World Test Championship Final 2025
2063,Australia in South Africa 2011
2064,Sri Lanka in South Africa 2011-12
2065,Australia in Sri Lanka 2011
2068,New Zealand in Australia 2011
2069,India in Australia Test series 2011-12
2078,Zimbabwe in New Zealand 2012
2079,South Africa in New Zealand 2012
2083,England in Sri Lanka 2012
2085,Bangladesh in Zimbabwe 2011
9033,South Africa tour of Bangladesh, 2024
2088,Pakistan in Zimbabwe 2011
2092,New Zealand in Zimbabwe 2011
2093,Sri Lanka in Pakistan 2011
9107,The Ashes, 2025-26
9171,Afghanistan tour of Zimbabwe, 2024-25
9181,Australia tour of Sri Lanka, 2025
2102,England in Pakistan 2012
2103,West Indies in Bangladesh 2011
2105,West Indies in India 2011
2106,Pakistan in Bangladesh 2011
2110,Australia in West Indies 2012
2111,West Indies in England 2012
2113,South Africa in England 2012
9331,Ireland tour of Zimbabwe, 2025
2122,New Zealand tour of USA and West Indies, 2012
2124,Pakistan tour of Sri Lanka, 2012
2126,New Zealand tour of India, 2012
2127,England tour of India 2012-13
2139,New Zealand tour of South Africa 2012-13
2140,Pakistan tour of South Africa 2013
2141,New Zealand tour of England 2013
2193,The Ashes 2013
9408,Australia tour of West Indies, 2025
2144,England tour of New Zealand 2013
2145,South Africa in Australia 2012
2146,Sri Lanka in Australia 2012-13
2153,New Zealand in Sri Lanka 2012
9514,Zimbabwe tour of Bangladesh, 2025
9578,South Africa tour of Zimbabwe, 2025
9584,New Zealand tour of Zimbabwe, 2025
2163,West Indies tour of Bangladesh 2012
9629,West Indies tour of India, 2025
9638,South Africa tour of India, 2025
2194,The Ashes 2013-14
2168,Zimbabwe tour of West Indies 2013
9809,Bangladesh tour of Sri Lanka, 2025
2171,Australia tour of India 2013
2175,Bangladesh tour of Sri Lanka 2013
2182,Bangladesh tour of Zimbabwe 2013
10223,West Indies tour of New Zealand, 2025
2205,Australia tour of South Africa 2014
2218,Pakistan vs South Africa in UAE, 2013
2224,Pakistan vs Sri Lanka in UAE, 2013-14
2226,Pakistan tour of Zimbabwe 2013
2229,West Indies tour of New Zealand 2013-14
2232,India tour of New Zealand 2014
2233,India tour of England 2014
2235,Sri Lanka tour of England and Ireland 2014
2236,New Zealand tour of Bangladesh 2013
2242,West Indies in India 2013
2245,India in South Africa 2013
2249,Sri Lanka in Bangladesh 2014
10895,South Africa tour of Pakistan, 2025
10972,Ireland tour of Bangladesh, 2025
11052,Afghanistan tour of Zimbabwe 2025
2262,West Indies in South Africa, 2014-15
2265,Pakistan vs Australia in UAE, 2014
2268,South Africa tour of Sri Lanka, 2014
2269,New Zealand Tour of West Indies, 2014
2270,Bangladesh Tour of West Indies, 2014
2272,South Africa in Zimbabwe, 2014
2275,Pakistan vs New Zealand in UAE, 2014
2284,New Zealand tour of England, 2015
2285,The Ashes, 2015
2289,Pakistan tour of Sri Lanka, 2014
2291,Sri Lanka tour of New Zealand, 2014-15
2278,India tour of Australia, 2014-15
2304,Zimbabwe tour of Bangladesh, 2014
2320,England tour of West Indies, 2015
2328,Australia tour of West Indies, 2015
2329,South Africa tour of Bangladesh, 2015
2334,Pakistan tour of Bangladesh, 2015
2280,India tour of Bangladesh, 2015
2337,Pakistan tour of Sri Lanka, 2015
2341,England tour of South Africa, 2015-16
2348,New Zealand tour of Australia, 2015
2349,West Indies tour of Australia, 2015-16
2351,India tour of Sri Lanka, 2015 - Cricbuzz Cup
2356,Pakistan v England in United Arab Emirates, 2015
2359,South Africa tour of India, 2015
2368,Sri Lanka tour of England, 2016
2370,Pakistan tour of England, 2016
2372,Sri Lanka tour of New Zealand, 2015-16
2374,Australia tour of New Zealand, 2016
2375,West Indies tour of Sri Lanka, 2015
2395,New Zealand tour of South Africa, 2016
2398,Sri Lanka tour of South Africa, 2016-17
2438,Australia tour of Sri Lanka, 2016
2443,South Africa tour of Australia, 2016
2445,Pakistan tour of Australia, 2016-17
2459,Bangladesh tour of New Zealand, 2016-17
2460,Pakistan tour of New Zealand, 2016
2462,South Africa tour of New Zealand, 2017
2469,India tour of West indies, 2016
2473,New Zealand tour of Zimbabwe, 2016
2481,England tour of Bangladesh, 2016
2482,New Zealand tour of India, 2016
2485,South Africa tour of England, 2017
2486,West Indies tour of England, 2017
2489,England tour of India, 2016-17
2496,Bangladesh tour of India, 2017
2503,Pakistan v West Indies in UAE, 2016
2519,Sri Lanka tour of Zimbabwe, 2016
2524,Australia Test tour of India, 2017
2538,The Ashes, 2017-18
2546,Bangladesh tour of South Africa, 2017
2549,Australia tour of South Africa, 2018
2552,Pakistan tour of West Indies, 2017
2569,Bangladesh tour of Sri Lanka, 2017
2589,Australia tour of Bangladesh, 2017
2590,Zimbabwe tour of Sri Lanka, 2017
2597,India tour of Sri Lanka, 2017
2602,West Indies tour of New Zealand, 2017-18
2604,England tour of New Zealand, 2018
2616,Pakistan tour of England, 2018
2619,India tour of England, 2018
2624,Pakistan v Sri Lanka in UAE, 2017
2632,India tour of South Africa, 2017-18
2633,Zimbabwe tour of South Africa, 2017
2636,West Indies tour of Zimbabwe, 2017
2637,Sri Lanka tour of India, 2017
2643,Pakistan tour of Ireland, 2018
2652,Sri Lanka tour of West Indies, 2018
2654,Sri Lanka tour of Bangladesh, 2018
2672,Afghanistan tour of India, 2018
2683,England tour of Sri Lanka, 2018
2686,South Africa tour of Sri Lanka, 2018
2691,Pakistan tour of South Africa, 2018-19
2692,Sri Lanka tour of South Africa, 2019
2699,India tour of Australia, 2018-19
2701,Sri Lanka tour of Australia, 2019
2709,Bangladesh tour of West Indies, 2018
2729,Ireland tour of England Only Test, 2019
2730,The Ashes 2019
2736,Windies tour of Bangladesh, 2018
2738,Zimbabwe tour of Bangladesh, 2018
2739,Sri Lanka tour of New Zealand, 2018-19
2741,Bangladesh tour of New Zealand, 2019
2751,Australia v Pakistan in UAE, 2018
2752,Pakistan v New Zealand in UAE, 2018
2754,Windies tour of India, 2018
2755,England tour of West Indies, 2019
2779,Afghanistan v Ireland in India, 2019
229,England in Australia, 2010-11
230,Bangladesh in England, 2010
235,South Africa in West Indies, 2010
2828,Pakistan tour of Australia, 2019
2829,New Zealand tour of Australia, 2019-20
237,Pakistan Vs Australia in England, 2010
238,Pakistan in England, 2010
2838,England tour of South Africa, 2019-20
2845,South Africa tour of India, 2019
2846,Bangladesh tour of India, 2019
2851,England tour of New Zealand, 2019
2852,India tour of New Zealand, 2020
2856,India tour of West Indies, 2019
2867,New Zealand tour of Sri Lanka, 2019
2871,Afghanistan v West Indies in India, 2019
2880,Afghanistan tour of Bangladesh Only Test, 2019
252,India in Sri Lanka, 2010
2922,Sri Lanka tour of Pakistan Test Series, 2019
3030,Sri Lanka tour of Zimbabwe, 2020
3041,Bangladesh tour of Pakistan, 2020
3121,Zimbabwe tour of Bangladesh, 2020
2918,England tour of Sri Lanka, 2020
2886,West Indies tour of England, 2020
2888,Pakistan tour of England, 2020
3213,India tour of Australia, 2020-21
3274,West Indies tour of New Zealand, 2020
3275,Pakistan tour of New Zealand, 2020-21
3327,Sri Lanka tour of South Africa, 2020-21
1590,Sri Lanka in Bangladesh Test Series, 2008-09
1591,South Africa in Australia Test Series, 2008-09
3337,India tour of England, 2021
1592,Sri Lanka in Pakistan Test Series, 2009
1593,England in West Indies, 2009
1594,Australia in South Africa Test Series, 2009
1595,India in New Zealand Test Series, 2009
1596,West Indies in England, 2009
1597,Bangladesh in West Indies Test Series, 2009
3353,South Africa tour of Pakistan, 2021
1598,Pakistan in Sri Lanka Test Series, 2009
3357,England tour of Sri Lanka, 2021
3362,England tour of India, 2021
1599,Australia in England, 2009
1600,New Zealand in Sri Lanka Test Series, 2009
3367,West Indies tour of Bangladesh, 2021
1601,Sri Lanka in India Test Series, 2009
1602,Pakistan in New Zealand Test Series, 2009
1603,West Indies in Australia, 2009
1604,England in South Africa, 2009-10
1605,Pakistan in Australia Test Series, 2009-10
1606,India in Bangladesh Test Series, 2010
1607,South Africa in India Test Series, 2010
1608,Bangladesh in New Zealand Test Match, 2010
1609,England in Bangladesh Test Series, 2010
1610,Australia in New Zealand, 2010
1612,Pakistan Vs South Africa in UAE, 2010
1614,Australia in India, 2010
1615,New Zealand in India, 2010
1616,India in South Africa, 2010-11
3413,New Zealand tour of England, 2021
3433,Afghanistan v Zimbabwe in UAE, 2021
3452,Sri Lanka tour of West Indies, 2021
3468,ICC World Test Championship Final 2021
3477,Bangladesh tour of Sri Lanka, 2021
3482,England tour of West Indies, 2022
3487,Pakistan tour of Zimbabwe, 2021
3521,South Africa tour of West Indies, 2021
1580,New Zealand in England Test Series, 2008
1581,Australia in West Indies, 2008
3526,Pakistan tour of West Indies, 2021
1582,South Africa in England, 2008
3532,The Ashes, 2021-22
1583,India in Sri Lanka Test Series, 2008
1584,New Zealand in Bangladesh Test Series, 2008
1585,Australia in India, 2008
1586,Bangladesh in South Africa Test Series, 2008
1587,New Zealand in Australia, 2008
1588,England in India Test Series, 2008
1589,West Indies in New Zealand Test Series, 2008
3561,Bangladesh tour of Zimbabwe, 2021
