innings_player,innings_runs_scored,innings_runs_scored_num,innings_minutes_batted,innings_batted_flag,innings_not_out_flag,innings_balls_faced,innings_boundary_fours,innings_boundary_sixes,innings_batting_strike_rate,innings_number,opposition,ground,innings_date,country,50s,100s,innings_runs_scored_buckets,innings_overs_bowled,innings_bowled_flag,innings_maidens_bowled,innings_runs_conceded,innings_wickets_taken,4_wickets,5_wickets,10_wickets,innings_wickets_taken_buckets,innings_economy_rate
AD Hales,116*,116,97,1,1,64,11,6,181.25,2,v Sri Lanka,Chattogram,2014-03-27,England,0,1,100-149,,,,,,,,,,
LJ Wright,99*,99,83,1,1,55,8,6,180.00,1,v Afghanistan,Colombo (RPS),2012-09-21,England,1,0,50-99,,,,,,,,,,
AD Hales,99,99,84,1,0,68,6,4,145.58,2,v West Indies,Nottingham,2012-06-24,England,1,0,50-99,,,,,,,,,,
AD Hales,94,94,80,1,0,61,11,2,154.09,1,v Australia,Chester-le-Street,2013-08-31,England,1,0,50-99,,,,,,,,,,
JE Root,90*,90,77,1,1,49,13,1,183.67,2,v Australia,Southampton,2013-08-29,England,1,0,50-99,,,,,,,,,,
SW Billings,87,87,,1,0,47,10,3,185.10,1,v West Indies,Basseterre,2019-03-08,England,1,0,50-99,,,,,,,,,,
EJG Morgan,85*,85,54,1,1,45,7,5,188.88,1,v South Africa,Johannesburg,2009-11-13,England,1,0,50-99,,,,,,,,,,
JE Root,83,83,70,1,0,44,6,4,188.63,2,v South Africa,Mumbai,2016-03-18,England,1,0,50-99,,,,,,,,,,
AD Hales,80*,80,50,1,1,42,9,4,190.47,2,v New Zealand,Wellington,2013-02-15,England,1,0,50-99,,,,,,,,,,
EJG Morgan,80*,80,75,1,1,46,4,6,173.91,1,v New Zealand,Hamilton,2018-02-18,England,1,0,50-99,,,,,,,,,,
PD Collingwood,79,79,47,1,0,41,5,4,192.68,2,v West Indies,The Oval,2007-06-28,England,1,0,50-99,,,,,,,,,,
KP Pietersen,79,79,41,1,0,37,7,4,213.51,1,v Zimbabwe,Cape Town,2007-09-13,England,1,0,50-99,,,,,,,,,,
JJ Roy,78,78,50,1,0,44,11,2,177.27,2,v New Zealand,Delhi,2016-03-30,England,1,0,50-99,,,,,,,,,,
DJ Malan,78,78,60,1,0,44,12,2,177.27,1,v South Africa,Cardiff,2017-06-25,England,1,0,50-99,,,,,,,,,,
LJ Wright,76,76,59,1,0,43,5,5,176.74,2,v New Zealand,Pallekele,2012-09-29,England,1,0,50-99,,,,,,,,,,
EJG Morgan,74,74,50,1,0,39,3,7,189.74,1,v Australia,Cardiff,2015-08-31,England,1,0,50-99,,,,,,,,,,
KP Pietersen,73*,73,59,1,1,52,8,2,140.38,2,v Pakistan,Bridgetown,2010-05-06,England,1,0,50-99,,,,,,,,,,
JC Buttler,73*,73,,1,1,49,3,4,148.97,2,v Sri Lanka,Southampton,2016-07-05,England,1,0,50-99,,,,,,,,,,
MM Ali,72*,72,70,1,1,46,6,3,156.52,1,v Australia,Cardiff,2015-08-31,England,1,0,50-99,,,,,,,,,,
ME Trescothick,72,72,78,1,0,58,9,1,124.13,2,v Sri Lanka,Southampton,2006-06-15,England,1,0,50-99,,,,,,,,,,
EJG Morgan,71*,71,46,1,1,36,4,5,197.22,2,v West Indies,Pallekele,2012-09-27,England,1,0,50-99,,,,,,,,,,
LJ Wright,71,71,75,1,0,49,8,0,144.89,1,v Netherlands,Lord's,2009-06-05,England,1,0,50-99,,,,,,,,,,
EJG Morgan,71,71,36,1,0,31,3,7,229.03,1,v India,Birmingham,2014-09-07,England,1,0,50-99,,,,,,,,,,
JC Buttler,69,69,,1,0,46,8,2,150.00,1,v India,Manchester,2018-07-03,England,1,0,50-99,,,,,,,,,,
JJ Roy,69,69,,1,0,36,4,6,191.66,1,v Sri Lanka,Colombo (RPS),2018-10-27,England,1,0,50-99,,,,,,,,,,
AD Hales,68,68,80,1,0,51,5,2,133.33,2,v West Indies,Pallekele,2012-09-27,England,1,0,50-99,,,,,,,,,,
JE Root,68,68,60,1,0,46,8,1,147.82,1,v New Zealand,Manchester,2015-06-23,England,1,0,50-99,,,,,,,,,,
