id|name|city|country
11|MA Chidambaram Stadium|Chennai|2
32|Green Park|Kanpur|2
27|M.Chinnaswamy Stadium|Bengaluru|2
287|Maharashtra Cricket Association Stadium|Pune|2
81|Wankhede Stadium|Mumbai|2
25|Rawalpindi Cricket Stadium|Rawalpindi|3
22|Multan Cricket Stadium|Multan|3
438|Greater Noida Sports Complex Ground|Greater Noida|2
66|Headingley|Leeds|9
20|Edgbaston|Birmingham|9
19|Lord's|London|9
65|Emirates Old Trafford|Manchester|9
12|Kennington Oval|London|9
113|Galle International Stadium|Galle|5
52|Newlands|Cape Town|11
88|The Wanderers Stadium|Johannesburg|11
75|SuperSport Park|Centurion|11
74|Kingsmead|Durban|11
254|Pallekele International Cricket Stadium|Pallekele|5
14|Sinhalese Sports Club|Colombo|5
35|The Gabba|Brisbane|4
39|Bellerive Oval|Hobart|4
87|Melbourne Cricket Ground|Melbourne|4
34|Sydney Cricket Ground|Sydney|4
38|W.A.C.A. Ground|Perth|4
40|Adelaide Oval|Adelaide|4
44|McLean Park|Napier|13
116|University Oval|Dunedin|13
100|Seddon Park|Hamilton|13
45|Basin Reserve|Wellington|13
71|P Sara Oval|Colombo|5
69|Harare Sports Club|Harare|12
128|Shere Bangla National Stadium|Dhaka|6
70|Queens Sports Club|Bulawayo|12
93|Zahur Ahmed Chowdhury Stadium|Chattogram|6
512|Perth Stadium|Perth|4
51|Arun Jaitley Stadium|Delhi|2
31|Eden Gardens|Kolkata|2
55|Kensington Oval|Bridgetown, Barbados|10
54|Queen's Park Oval|Port of Spain, Trinidad|10
106|Windsor Park|Roseau, Dominica|10
18|Trent Bridge|Nottingham|9
109|Sir Vivian Richards Stadium|North Sound, Antigua|10
57|Sabina Park|Kingston, Jamaica|10
80|Rajiv Gandhi International Stadium|Hyderabad|2
50|Narendra Modi Stadium|Ahmedabad|2
228|Vidarbha Cricket Association Stadium|Nagpur|2
73|St George's Park|Port Elizabeth|11
60|Riverside Ground|Chester-le-Street|9
101|National Cricket Stadium|St Georges, Grenada|10
41|Eden Park|Auckland|13
379|Sylhet International Cricket Stadium|Sylhet|6
104|Sheikh Abu Naser Stadium|Khulna|6
380|Barsapara Cricket Stadium|Guwahati|2
46|Punjab Cricket Association IS Bindra Stadium|Mohali|2
15|R.Premadasa Stadium|Colombo|5
371|Hagley Oval|Christchurch|13
393|Bay Oval|Mount Maunganui|13
21|The Rose Bowl|Southampton|9
294|New Wanderers Stadium|Johannesburg|11
26|Gaddafi Stadium|Lahore|3
58|Arnos Vale Ground|Kingstown, St Vincent|10
59|Daren Sammy National Cricket Stadium|Gros Islet, St Lucia|10
92|Khan Shaheb Osman Ali Stadium|Fatullah|6
29|Vidarbha Cricket Association Ground|Nagpur|2
152|Holkar Cricket Stadium|Indore|2
290|Saurashtra Cricket Association Stadium|Rajkot|2
154|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|Visakhapatnam|2
291|JSCA International Stadium Complex|Ranchi|2
155|Himachal Pradesh Cricket Association Stadium|Dharamsala|2
102|Senwes Park|Potchefstroom|11
72|Mangaung Oval|Bloemfontein|11
370|The Village|Dublin|27
123|Manuka Oval|Canberra|4
528|Rajiv Gandhi International Cricket Stadium|Dehradun|2
96|Warner Park|Basseterre, St Kitts|10
485|Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium|Lucknow|2
24|National Stadium|Karachi|3
56|Antigua Recreation Ground|St John's, Antigua|10
10|Brabourne Stadium|Mumbai|2
68|Asgiriya Stadium|Kandy|5
110|Providence Stadium|Guyana|10
43|AMI Stadium|Christchurch|13
30|Iqbal Stadium|Faisalabad|3
90|Shaheed Chandu Stadium|Bogra|6
129|Marrara Cricket Ground|Darwin|4
218|Cazaly's Stadium|Cairns|4
36|Bangabandhu National Stadium|Dhaka|6
37|MA Aziz Stadium|Chattogram|6
53|Bourda|Georgetown, Guyana|10
23|Arbab Niaz Stadium|Peshawar|3
99|Buffalo Park|East London|11
127|Sheikhupura Stadium|Sheikhupura|3
210|Carisbrook|Dunedin|13
247|Jinnah Stadium|Sialkot|3
103|Barabati Stadium|Cuttack|2
146|Jinnah Stadium|Gujranwala|3
253|Tyronne Fernando Stadium|Moratuwa|5
261|Bulawayo Athletic Club|Bulawayo|12
244|Southend Club Cricket Stadium|Karachi|3
235|K.D.Singh 'Babu' Stadium|Lucknow|2
76|Sawai Mansingh Stadium|Jaipur|2
256|Colombo Cricket Club Ground|Colombo|5
130|Lal Bahadur Shastri Stadium|Hyderabad|2
120|Sector 16 Stadium|Chandigarh|2
126|Niaz Stadium|Hyderabad|3
239|Gandhi Stadium|Jalandhar|2
248|Ibn-e-Qasim Bagh Stadium|Multan|3
230|University Ground|Lucknow|2
205|Ellis Park|Johannesburg|11
250|Bahawal Stadium|Bahawalpur|3
251|Bagh-e-Jinnah|Lahore|3
246|Peshawar Club Ground|Peshawar|3
232|Nehru Stadium|Chennai|2
245|Pindi Club Ground|Rawalpindi|3
203|Old Wanderers|Johannesburg|11
227|Bramall Lane|Sheffield|9
204|Lord's|Durban|11
215|Exhibition Ground|Brisbane|4
238|Gymkhana Ground|Mumbai|2
111|Civil Service Cricket Club|Belfast|27
94|Sheikh Zayed Stadium|Abu Dhabi|97
153|Dubai International Cricket Stadium|Dubai|97
140|Sharjah Cricket Stadium|Sharjah|97
62|Sophia Gardens|Cardiff|98
390|Tolerance Oval|Abu Dhabi|97
